KEGG;NAME;ENZYME;IAFMODEL;UMBBD;CODE
R03730;;4.2.1.0;None;None;(2)(C(H)N)+(S(C(H2C(H2C(HN(H2)C(O(H)O)))))S(C(H2C(H2C(HN(H2)C(O(H)O))))))<=>(C(H2C(H2S(H)))C(HN(H2)C(O(H)O)))+C(H2C(HN(H2)C(O(H)O))C(H2C(N)))+C(S(H)N)
R00614;Formaldehyde:formaldehyde oxidoreductase|;1.2.99.4;None;None;(2)(C(H2)O)<=>(C(H3)O(H))+C(HO(H)O)
R00111;N-(omega)-Hydroxyarginine,NADPH:oxygen oxidoreductase|;1.14.13.39;None;None;(2)(C(H2C(H2C(HN(H2)C(O(H)O))))C(H2N(HC(N(O(H))N(H2)))))<=>(2)(N(H)O)+(2)C(H2C(H2N(HC(ON(H2))))C(H2C(HN(H2)C(O(H)O))))
R02742;NADPH:bis-gamma-glutamylcystine oxidoreductase|;1.8.1.13;None;None;(2)(C(H2C(H2C(HN(H2)C(O(H)O))))C(ON(HC(HC(O(H)O)C(H2S(H))))))<=>(S(C(H2C(HN(HC(OC(H2C(H2C(HN(H2)C(O(H)O))))))C(O(H)O))))S(C(H2C(HN(HC(OC(H2C(H2C(HN(H2)C(O(H)O))))))C(O(H)O)))))
R00018;Putrescine:putrescine 4-aminobutyltransferase (ammonia-forming)|;2.5.1.44;None;None;(2)(C(H2C(H2N(H2)))C(H2C(H2N(H2))))<=>N(HC(H2C(H2C(H2C(H2N(H2)))))C(H2C(H2C(H2C(H2N(H2))))))
R04943;;;None;None;(2)(C(H2C(H2Se(H)))C(HN(H2)C(O(H)O)))<=>(Se(C(H2C(H2C(HN(H2)C(O(H)O)))))Se(C(H2C(H2C(HN(H2)C(O(H)O))))))
R00038;4-Hydroxy-3-hexanone propanal-lyase|;4.1.2.35;None;None;(2)(C(H2C(H3))C(HO))<=>(C(HO(H)C(H2C(H3)))C(OC(H2C(H3))))
R05228;Penicillin-N,2-oxoglutarate:oxygen oxidoreductase (ring-expanding)|;1.14.20.1;None;None;(2)(C(H2C(O(H)O))C(H2C(O(H)O)))+C(H2)(C(C(H2O(H)))(C(C(O(H)O))(N(C(H)(C(HN(HC(OC(H2C(H2C(H2C(HN(H2)C(O(H)O))))))))(C(O)(){4})S(){1}))<4>)))<1><=>C(H)(C(HN(HC(OC(H2C(H2C(H2C(HN(H2)C(O(H)O))))))))(C(O)(N(C(HC(O(H)O))(C(C(H3)C(H3))(S()))){1})))<1>+(2)C(H2C(OC(O(H)O))C(H2C(O(H)O)))
R06448;;;None;None;(2)(C(H2C(O(H)O))C(S(CoA)O))+(5)(C(HC(O(H)O)C(H3))C(S(CoA)O))+C(S(CoA)OC(H2C(H3)))<=>C(H2)(C(HC(H2C(H3)))(C(HO(H))(C(HC(H3))(C(HO(H))(C(H2)(C(O)(O(C(HC(H2C(H3)))(C(HC(H3))(C(H)(C(C(H3))(C(H)(C(H)(C(O)(C(HC(H3))(){1})))))))))))))))<1>
R06510;;;None;None;(2)(C(H2C(O(H)O))C(S(CoA)O))+(C(OC(H3))S(CoA))<=>C(H)(C(C(H3))(O(C(O)(C(H)(C(O(H))(){1})))))<1>
R06726;;;None;None;(2)(C(HC(H3)C(H2C(H3)))C(HN(H2)C(O(H)O)))+C(H2)(C(H2)(N(C(H2)(C(H)(C(C(H2O(H)))(C(H)(C(HO(H))(){1}){3}))))<3>))<1><=>C(H2)(C(H2)(N(C(H2)(C(H)(C(C(H2)(O(C(O)(C(O(H)C(H3))(C(HC(H3))(C(H2)(C(C(HC(H3)))(C(O)(O(C(H)(C(H)(){3,6}){1}))))))))))<6>)))<3>))<1>
R00025;2-Nitropropane:oxygen 2-oxidoreductase|;1.13.11.32;None;None;(2)(C(HC(H3)C(H3))N[+1](O(H)O))<=>(2)C(OC(H3)C(H3))+(2)N(O(H)O)
R01150;D-AlanineD-Alanine ligase (ADP-forming)|;6.3.2.4;None;None;(2)(C(HN(H2)C(H3))C(O(H)O))<=>N(HC(OC(HN(H2)C(H3)))C(HC(O(H)O)C(H3)))
R00013;Glyoxylate carboxy-lyase (dimerizing)|;4.1.1.47;None;None;(2)(C(HO)C(O(H)O))<=>C(HO(H)C(O(H)O)C(HO))
R00238;Acetyl-CoA:acetyl-CoA C-acetyltransferase|;2.3.1.9|2.3.1.16;None;None;(2)(C(OC(H3))S(CoA))<=>(C(H2C(OC(H3)))C(S(CoA)O))
R00280;Nitric-oxide:(acceptor) oxidoreductase|;1.7.2.1;None;None;(2)(N(H)O)<=>(2)N(O(H)O)
R05724;nitric oxide, NAD(P)H2:oxygen oxidoreductase|;1.14.12.17;None;None;(2)(N(H)O)<=>(2)N(O(H)OO)
R05725;nitric oxide, NADPH2:oxygen oxidoreductase|;1.14.12.17;None;None;(2)(N(H)O)<=>(2)N(O(H)OO)
R00294;Nitrous-oxide:(acceptor) oxidoreductase (NO-forming)|;1.7.99.7;None;None;(2)(N(H)O)<=>N[+1](ON(H))
